title,date,description,url
Buitenbad in de meivakantie extra open voor recreatief...,28 april 2025,Lees hier op welke dagen het buitenbad (extra) open is!,https://www.sportpuntgouda.nl/nieuws/buitenbad-in-de-meivakantie-extra-open-voor-recreatief-zwemmen
Openingstijden aankomende feestdagen,15 april 2025,Bekijk hier of we open zijn tijdens de aankomende feestdagen..,https://www.sportpuntgouda.nl/nieuws/openingstijden-aankomende-feestdagen
Jaarverslag 2024,09 april 2025,Met plezier presenteren wij ons jaarverslag 2024!,https://www.sportpuntgouda.nl/nieuws/jaarverslag-2024
"Sporten, spelen en zwemmen in de meivakantie!",27 maart 2025,"In de meivakantie zit je in Gouda niet stil! Voetallen, zwemmen of spelen - wat je ook kiest, plezier is gegarandeerd. Kom langs en doe mee!",https://www.sportpuntgouda.nl/nieuws/sporten-spelen-en-zwemmen-in-de-meivakantie
Jan van Merwijk benoemd tot Lid RvC van SPORT•GOUDA,27 maart 2025,Per 8 april 2025 heeft het College van B&W van de gemeente Gouda (aandeelhouder van SPORT•GOUDA) Jan van Merwijk benoemd tot lid...,https://www.sportpuntgouda.nl/nieuws/jan-van-merwijk-benoemd-tot-lid-rvc-van-sportgouda
Op de bank met...het Nelson Mandela Centrum,24 maart 2025,De Gouds Leefstijlakkoord woonkamer is op tournee. Lees waar de woonkamer nu staat.,https://www.sportpuntgouda.nl/nieuws/op-de-bank-methet-nelson-mandela-centrum
Gouda Beach Experience 2025,21 maart 2025,Donderdag 19 juni t/m maandag 23 juni 2025 wordt het mooiste marktplein van Nederland weer omgetoverd tot een uniek stadsstrand. Een lang...,https://www.sportpuntgouda.nl/nieuws/gouda-beach-experience-2025
Nieuwe freerunbaan en calisthenics in Korte Akkeren...,26 februari 2025,Op woensdag 26 februari 2025 is in de wijk Korte Akkeren in Gouda een nieuwe freerunbaan met calisthenics voorziening geopend.,https://www.sportpuntgouda.nl/nieuws/nieuwe-freerunbaan-en-calisthenics-in-korte-akkeren-feestelijk-geopend
Uitnodiging workshop 'Sport is voor iedereen' 10 april...,20 februari 2025,Op 10 april 2025 organiseert SPORT•GOUDA in samenwerking met Regenboogalliantie Gouda de Workshop 'Sport is voor iedereen'.,https://www.sportpuntgouda.nl/nieuws/uitnodiging-workshop-sport-is-voor-iedereen-10-april-2025
Voorjaarsvakantie 2025,03 februari 2025,Een toffe voorjaarsvakantie beleef je natuurlijk met ons! Bekijk hier snel het programma (24 februari t/m 2 maart 2025).,https://www.sportpuntgouda.nl/nieuws/voorjaarsvakantie-2025
"Werkzaamheden Groenhovenbad 16, 17 en 20 januari 2025",14 januari 2025,"Op 16, 17 en 20 januari staan er diverse werkzaamheden gepland rondom de douches en toiletten richting de zwemzalen.",https://www.sportpuntgouda.nl/nieuws/werkzaamheden-groenhovenbad-16-17-en-20-januari-2025
Op de bank met...gro-up,12 december 2024,De Gouds Leefstijlakkoord woonkamer is op tournee. Lees waar de woonkamer nu staat.,https://www.sportpuntgouda.nl/nieuws/op-de-bank-metgro-up
"Extra sluitingstijden kantoor, sporthallen en...",09 december 2024,"In de decembermaand zijn er een aantal momenten dat het kantoor van SPORT•GOUDA, de sporthallen en het zwembad eerder sluiten.",https://www.sportpuntgouda.nl/nieuws/extra-sluitingstijden-kantoor-sporthallen-en-groenhovenbad
Kerstvakantie met SPORT•GOUDA,29 november 2024,Van 23 december 2024 tot en met 5 januari 2025 is het kerstvakantie. Bekijk snel de activiteiten en het zwemrooster van het...,https://www.sportpuntgouda.nl/nieuws/kerstvakantie-met-sportgouda
SPORT•GOUDA ontvangt waardevolle inzichten uit...,28 november 2024,SPORT•GOUDA heeft de resultaten van het klanttevredenheidsonderzoek van 2024 bekendgemaakt.,https://www.sportpuntgouda.nl/nieuws/sportgouda-ontvangt-waardevolle-inzichten-uit-klanttevredenheidsonderzoek
Gezonde Buurt Gouda: Vogelbuurt,29 oktober 2024,Gouda gaat in de Vogelbuurt aan de slag met het project Gezonde Buurten.,https://www.sportpuntgouda.nl/nieuws/gezonde-buurt-gouda-vogelbuurt
Wereldprimeur voor Goudse voetbalvereniging,10 oktober 2024,Voetbalvereniging SV DONK heeft woensdag 9 oktober met trots de feestelijke opening van een baanbrekend warmtewinsysteem onder hun...,https://www.sportpuntgouda.nl/nieuws/wereldprimeur-voor-goudse-voetbalvereniging
Leuke activiteiten in de Herfstvakantie!,07 oktober 2024,Bekijk snel het programma en de openingstijden van het Groenhovenbad!,https://www.sportpuntgouda.nl/nieuws/leuke-activiteiten-in-de-herfstvakantie
Maandag 28 oktober 2024 Senior Games in Sportcentrum...,06 oktober 2024,SPORT•GOUDA organiseert speciaal voor 55+’ers op maandag 28 oktober 2024 van 10:00 tot 16:30 uur de Senior Games 2024 in...,https://www.sportpuntgouda.nl/nieuws/maandag-28-oktober-2024-senior-games-in-sportcentrum-de-mammoet
De Goudse Sportontmoeting gaat door in afgeslankte...,19 september 2024,De Goudse Sportontmoeting gaat door in afgeslankte vorm: Sportcafé Fondsenwerving in de Sport - Donderdag 24 oktober.,https://www.sportpuntgouda.nl/nieuws/de-goudse-sportontmoeting-gaat-door-in-afgeslankte-vorm-sportcafe-fondsenwerving-in-de-sport-donderdag-24-oktober
Doortrappen in Gouda (65+)!,12 september 2024,"Veilig, vrolijk en fit blijven doortrappen in Gouda!",https://www.sportpuntgouda.nl/nieuws/doortrappen-in-gouda-65
Feestelijke opening Cruyff Court Gouda,11 september 2024,Op woensdag 11 september 2024 was het zover: het gloednieuwe Cruyff Court aan de Marathonlaan in Gouda is officieel geopend!,https://www.sportpuntgouda.nl/nieuws/feestelijke-opening-cruyff-court-gouda
Volwassenenfonds groot succes in Gouda,05 september 2024,Volwassenenfonds groot succes in Gouda: 628 goedgekeurde aanvragen sinds 2021.,https://www.sportpuntgouda.nl/nieuws/volwassenenfonds-groot-succes-in-gouda
Opening Cruyff Court op 11 september 2024,03 september 2024,Op woensdag 11 september 2024 openen we het Cruyff Court aan de Marathonlaan in Gouda.,https://www.sportpuntgouda.nl/nieuws/opening-cruyff-court-op-11-september-2024
Buitenbad in de meivakantie extra open voor recreatief...,28 april 2025,Lees hier op welke dagen het buitenbad (extra) open is!,https://www.sportpuntgouda.nl/nieuws/buitenbad-in-de-meivakantie-extra-open-voor-recreatief-zwemmen
Openingstijden aankomende feestdagen,15 april 2025,Bekijk hier of we open zijn tijdens de aankomende feestdagen..,https://www.sportpuntgouda.nl/nieuws/openingstijden-aankomende-feestdagen
Jaarverslag 2024,09 april 2025,Met plezier presenteren wij ons jaarverslag 2024!,https://www.sportpuntgouda.nl/nieuws/jaarverslag-2024
"Sporten, spelen en zwemmen in de meivakantie!",27 maart 2025,"In de meivakantie zit je in Gouda niet stil! Voetallen, zwemmen of spelen - wat je ook kiest, plezier is gegarandeerd. Kom langs en doe mee!",https://www.sportpuntgouda.nl/nieuws/sporten-spelen-en-zwemmen-in-de-meivakantie
Jan van Merwijk benoemd tot Lid RvC van SPORT•GOUDA,27 maart 2025,Per 8 april 2025 heeft het College van B&W van de gemeente Gouda (aandeelhouder van SPORT•GOUDA) Jan van Merwijk benoemd tot lid...,https://www.sportpuntgouda.nl/nieuws/jan-van-merwijk-benoemd-tot-lid-rvc-van-sportgouda
Op de bank met...het Nelson Mandela Centrum,24 maart 2025,De Gouds Leefstijlakkoord woonkamer is op tournee. Lees waar de woonkamer nu staat.,https://www.sportpuntgouda.nl/nieuws/op-de-bank-methet-nelson-mandela-centrum
Gouda Beach Experience 2025,21 maart 2025,Donderdag 19 juni t/m maandag 23 juni 2025 wordt het mooiste marktplein van Nederland weer omgetoverd tot een uniek stadsstrand. Een lang...,https://www.sportpuntgouda.nl/nieuws/gouda-beach-experience-2025
Nieuwe freerunbaan en calisthenics in Korte Akkeren...,26 februari 2025,Op woensdag 26 februari 2025 is in de wijk Korte Akkeren in Gouda een nieuwe freerunbaan met calisthenics voorziening geopend.,https://www.sportpuntgouda.nl/nieuws/nieuwe-freerunbaan-en-calisthenics-in-korte-akkeren-feestelijk-geopend
Uitnodiging workshop 'Sport is voor iedereen' 10 april...,20 februari 2025,Op 10 april 2025 organiseert SPORT•GOUDA in samenwerking met Regenboogalliantie Gouda de Workshop 'Sport is voor iedereen'.,https://www.sportpuntgouda.nl/nieuws/uitnodiging-workshop-sport-is-voor-iedereen-10-april-2025
Voorjaarsvakantie 2025,03 februari 2025,Een toffe voorjaarsvakantie beleef je natuurlijk met ons! Bekijk hier snel het programma (24 februari t/m 2 maart 2025).,https://www.sportpuntgouda.nl/nieuws/voorjaarsvakantie-2025
"Werkzaamheden Groenhovenbad 16, 17 en 20 januari 2025",14 januari 2025,"Op 16, 17 en 20 januari staan er diverse werkzaamheden gepland rondom de douches en toiletten richting de zwemzalen.",https://www.sportpuntgouda.nl/nieuws/werkzaamheden-groenhovenbad-16-17-en-20-januari-2025
Op de bank met...gro-up,12 december 2024,De Gouds Leefstijlakkoord woonkamer is op tournee. Lees waar de woonkamer nu staat.,https://www.sportpuntgouda.nl/nieuws/op-de-bank-metgro-up
"Extra sluitingstijden kantoor, sporthallen en...",09 december 2024,"In de decembermaand zijn er een aantal momenten dat het kantoor van SPORT•GOUDA, de sporthallen en het zwembad eerder sluiten.",https://www.sportpuntgouda.nl/nieuws/extra-sluitingstijden-kantoor-sporthallen-en-groenhovenbad
Kerstvakantie met SPORT•GOUDA,29 november 2024,Van 23 december 2024 tot en met 5 januari 2025 is het kerstvakantie. Bekijk snel de activiteiten en het zwemrooster van het...,https://www.sportpuntgouda.nl/nieuws/kerstvakantie-met-sportgouda
SPORT•GOUDA ontvangt waardevolle inzichten uit...,28 november 2024,SPORT•GOUDA heeft de resultaten van het klanttevredenheidsonderzoek van 2024 bekendgemaakt.,https://www.sportpuntgouda.nl/nieuws/sportgouda-ontvangt-waardevolle-inzichten-uit-klanttevredenheidsonderzoek
Gezonde Buurt Gouda: Vogelbuurt,29 oktober 2024,Gouda gaat in de Vogelbuurt aan de slag met het project Gezonde Buurten.,https://www.sportpuntgouda.nl/nieuws/gezonde-buurt-gouda-vogelbuurt
Wereldprimeur voor Goudse voetbalvereniging,10 oktober 2024,Voetbalvereniging SV DONK heeft woensdag 9 oktober met trots de feestelijke opening van een baanbrekend warmtewinsysteem onder hun...,https://www.sportpuntgouda.nl/nieuws/wereldprimeur-voor-goudse-voetbalvereniging
Leuke activiteiten in de Herfstvakantie!,07 oktober 2024,Bekijk snel het programma en de openingstijden van het Groenhovenbad!,https://www.sportpuntgouda.nl/nieuws/leuke-activiteiten-in-de-herfstvakantie
Maandag 28 oktober 2024 Senior Games in Sportcentrum...,06 oktober 2024,SPORT•GOUDA organiseert speciaal voor 55+’ers op maandag 28 oktober 2024 van 10:00 tot 16:30 uur de Senior Games 2024 in...,https://www.sportpuntgouda.nl/nieuws/maandag-28-oktober-2024-senior-games-in-sportcentrum-de-mammoet
De Goudse Sportontmoeting gaat door in afgeslankte...,19 september 2024,De Goudse Sportontmoeting gaat door in afgeslankte vorm: Sportcafé Fondsenwerving in de Sport - Donderdag 24 oktober.,https://www.sportpuntgouda.nl/nieuws/de-goudse-sportontmoeting-gaat-door-in-afgeslankte-vorm-sportcafe-fondsenwerving-in-de-sport-donderdag-24-oktober
Doortrappen in Gouda (65+)!,12 september 2024,"Veilig, vrolijk en fit blijven doortrappen in Gouda!",https://www.sportpuntgouda.nl/nieuws/doortrappen-in-gouda-65
Feestelijke opening Cruyff Court Gouda,11 september 2024,Op woensdag 11 september 2024 was het zover: het gloednieuwe Cruyff Court aan de Marathonlaan in Gouda is officieel geopend!,https://www.sportpuntgouda.nl/nieuws/feestelijke-opening-cruyff-court-gouda
Volwassenenfonds groot succes in Gouda,05 september 2024,Volwassenenfonds groot succes in Gouda: 628 goedgekeurde aanvragen sinds 2021.,https://www.sportpuntgouda.nl/nieuws/volwassenenfonds-groot-succes-in-gouda
Opening Cruyff Court op 11 september 2024,03 september 2024,Op woensdag 11 september 2024 openen we het Cruyff Court aan de Marathonlaan in Gouda.,https://www.sportpuntgouda.nl/nieuws/opening-cruyff-court-op-11-september-2024
